<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190701,144500,245.8800000,246.6000000,245.5400000,246.3000000,2569500
GAZP,15,20190701,150000,246.2800000,246.3900000,245.5900000,245.9800000,1040110
GAZP,15,20190701,151500,246.0600000,246.1000000,245.0100000,245.5300000,887730
GAZP,15,20190701,153000,245.5400000,246.2000000,245.4200000,245.9900000,868110
GAZP,15,20190701,154500,246.0000000,246.2600000,245.5700000,246.1800000,1524570
GAZP,15,20190701,160000,246.1800000,246.7100000,246.0400000,246.3400000,1268060
GAZP,15,20190701,161500,246.3800000,247.2000000,246.3400000,247.1700000,2346810
GAZP,15,20190701,163000,247.1800000,248.4300000,247.1000000,248.1700000,2510630
GAZP,15,20190701,164500,248.1600000,248.2700000,247.2300000,247.4900000,3042050
GAZP,15,20190701,170000,247.4900000,247.6200000,246.0000000,246.4800000,2101080
GAZP,15,20190701,171500,246.5000000,247.5000000,246.0700000,246.9000000,934230
GAZP,15,20190701,173000,246.9000000,247.2000000,246.7000000,247.0900000,567900
GAZP,15,20190701,174500,246.9900000,247.2400000,246.8300000,246.9300000,858270
GAZP,15,20190701,180000,246.9300000,246.9900000,245.8000000,246.3000000,1427730
GAZP,15,20190701,181500,246.3000000,246.4800000,245.2100000,245.8800000,1145210
GAZP,15,20190701,183000,245.9100000,246.5000000,245.3100000,246.4300000,2081010
GAZP,15,20190701,184500,246.4300000,246.6700000,246.0500000,246.3000000,1148250
GAZP,15,20190701,190000,245.5000000,245.5000000,245.5000000,245.5000000,864330
GAZP,15,20190702,101500,246.2500000,249.2600000,246.0100000,246.9500000,5241920
GAZP,15,20190702,103000,246.9500000,247.6700000,246.2300000,246.2300000,1177400
GAZP,15,20190702,104500,246.2400000,246.7400000,243.7000000,244.8800000,4188490
GAZP,15,20190702,110000,244.8200000,244.9800000,243.7600000,243.8800000,1067980
GAZP,15,20190702,111500,243.8500000,244.7600000,243.8400000,244.7500000,848180
GAZP,15,20190702,113000,244.7500000,246.1700000,244.1300000,244.8400000,2086020
GAZP,15,20190702,114500,244.8400000,245.3600000,244.3900000,245.0000000,917970
GAZP,15,20190702,120000,245.0000000,245.6000000,244.6200000,245.3200000,472830
GAZP,15,20190702,121500,245.3600000,245.8000000,244.6700000,244.8400000,490410
GAZP,15,20190702,123000,244.8100000,245.1800000,244.7200000,244.9800000,171190
GAZP,15,20190702,124500,244.9800000,245.6000000,244.7800000,245.4800000,617510
GAZP,15,20190702,130000,245.4800000,245.4800000,244.9900000,245.1100000,456240
GAZP,15,20190702,131500,245.1100000,245.2500000,244.8000000,244.8100000,409180
GAZP,15,20190702,133000,244.8100000,245.2500000,244.5000000,245.1600000,399060
GAZP,15,20190702,134500,245.1200000,245.3000000,245.0200000,245.2000000,272550
GAZP,15,20190702,140000,245.1800000,245.4700000,245.1200000,245.3400000,245490
GAZP,15,20190702,141500,245.3300000,245.4000000,245.0200000,245.1000000,301770
GAZP,15,20190702,143000,245.0600000,245.1600000,244.5000000,244.8200000,747770
GAZP,15,20190702,144500,244.8300000,244.9800000,244.7700000,244.8100000,181060
GAZP,15,20190702,150000,244.8100000,245.1000000,244.7700000,244.9600000,219410
GAZP,15,20190702,151500,244.9600000,245.3700000,244.8900000,245.2900000,452000
GAZP,15,20190702,153000,245.3600000,245.3600000,244.7500000,244.8900000,338370
GAZP,15,20190702,154500,244.8900000,245.0900000,244.5100000,244.6200000,548430
GAZP,15,20190702,160000,244.5800000,244.9900000,244.5800000,244.9600000,233830
GAZP,15,20190702,161500,244.9600000,245.2400000,244.7000000,245.0800000,500270
GAZP,15,20190702,163000,245.0800000,245.3100000,244.8000000,245.2900000,435300
GAZP,15,20190702,164500,245.3000000,245.6000000,245.0200000,245.2100000,597570
GAZP,15,20190702,170000,245.2100000,245.5300000,245.0000000,245.4100000,613380
GAZP,15,20190702,171500,245.4000000,245.8500000,245.3700000,245.4400000,863380
GAZP,15,20190702,173000,245.4100000,245.8900000,245.1900000,245.8400000,523620
GAZP,15,20190702,174500,245.8400000,246.6000000,245.8100000,246.1700000,1558500
GAZP,15,20190702,180000,246.1300000,246.4800000,245.8500000,246.0000000,866450
GAZP,15,20190702,181500,246.0000000,246.2400000,245.9600000,246.0900000,514540
GAZP,15,20190702,183000,246.0900000,246.1800000,245.7000000,245.9000000,596740
GAZP,15,20190702,184500,245.9000000,245.9000000,245.4300000,245.6500000,682670
GAZP,15,20190702,190000,246.6500000,246.6500000,246.6500000,246.6500000,1679430
GAZP,15,20190703,101500,246.0100000,246.4800000,245.5500000,246.0000000,1441190
GAZP,15,20190703,103000,245.9900000,247.7600000,245.6100000,247.3300000,1791190
GAZP,15,20190703,104500,247.2500000,248.9500000,247.1900000,248.6200000,3755020
GAZP,15,20190703,110000,248.6200000,250.2500000,248.0800000,249.8900000,5410710
GAZP,15,20190703,111500,249.8300000,250.0800000,249.3000000,249.7900000,2111830
GAZP,15,20190703,113000,249.7900000,249.8500000,248.1200000,248.3000000,1729590
GAZP,15,20190703,114500,248.3000000,249.7600000,248.0200000,249.4000000,1317770
GAZP,15,20190703,120000,249.3000000,249.6600000,248.8300000,248.9000000,609740
GAZP,15,20190703,121500,248.8400000,249.3300000,248.3200000,248.8800000,741660
GAZP,15,20190703,123000,248.8800000,249.6300000,248.8600000,248.9600000,512250
GAZP,15,20190703,124500,248.9100000,249.2000000,248.6300000,248.6300000,408900
GAZP,15,20190703,130000,248.6300000,249.1300000,248.5200000,248.9100000,259550
GAZP,15,20190703,131500,248.9100000,249.2200000,248.5200000,248.7200000,562890
GAZP,15,20190703,133000,248.7000000,248.9100000,248.5100000,248.6700000,270340
GAZP,15,20190703,134500,248.6700000,249.0000000,248.5400000,248.7800000,152890
GAZP,15,20190703,140000,248.7800000,249.6000000,248.6500000,249.3800000,544560
GAZP,15,20190703,141500,249.3300000,249.9000000,249.2300000,249.3000000,1006530
GAZP,15,20190703,143000,249.3000000,249.4600000,248.8600000,249.2800000,329440
GAZP,15,20190703,144500,249.2000000,249.7400000,249.1600000,249.6300000,342930
GAZP,15,20190703,150000,249.6000000,249.7000000,249.2700000,249.5600000,262880
GAZP,15,20190703,151500,249.4900000,249.5900000,249.0600000,249.4000000,261650
GAZP,15,20190703,153000,249.4000000,249.4400000,249.2200000,249.4300000,296730
GAZP,15,20190703,154500,249.3600000,249.9600000,249.1300000,249.6300000,2088150
GAZP,15,20190703,160000,249.6700000,251.4500000,249.5100000,250.7400000,4242120
GAZP,15,20190703,161500,250.8000000,251.6000000,250.8000000,251.4800000,2861940
GAZP,15,20190703,163000,251.5000000,251.5500000,250.3600000,251.1500000,1441550
GAZP,15,20190703,164500,251.2200000,251.2600000,250.1100000,250.5600000,1131280
GAZP,15,20190703,170000,250.6300000,250.6300000,250.1300000,250.4100000,617520
GAZP,15,20190703,171500,250.4500000,251.3700000,250.3200000,251.3600000,963830
GAZP,15,20190703,173000,251.3600000,251.4400000,250.9100000,251.1400000,429470
GAZP,15,20190703,174500,251.1400000,251.3300000,251.0000000,251.2400000,429860
GAZP,15,20190703,180000,251.2400000,251.3200000,250.5000000,250.7400000,705400
GAZP,15,20190703,181500,250.7600000,250.9700000,250.6100000,250.9500000,397410
GAZP,15,20190703,183000,250.9600000,251.4400000,250.9300000,251.1000000,1035350
GAZP,15,20190703,184500,251.1200000,251.4700000,250.5500000,250.8800000,2564850
GAZP,15,20190703,190000,251.6000000,251.6000000,251.6000000,251.6000000,1666170
GAZP,15,20190704,101500,251.6000000,254.3300000,250.6100000,253.8900000,4630870
GAZP,15,20190704,103000,253.8700000,254.9000000,253.1200000,254.1100000,3455320
GAZP,15,20190704,104500,254.1100000,254.6900000,253.6300000,254.0500000,1566700
GAZP,15,20190704,110000,253.9600000,254.6600000,253.9000000,254.2700000,1024420
GAZP,15,20190704,111500,254.3400000,254.9000000,254.2100000,254.3500000,1059650
GAZP,15,20190704,113000,254.3500000,254.8800000,254.2900000,254.8100000,977870
GAZP,15,20190704,114500,254.8100000,255.8500000,254.7700000,255.7600000,4947880
GAZP,15,20190704,120000,255.8100000,256.2500000,255.3700000,255.8000000,2258050
GAZP,15,20190704,121500,255.7700000,256.4000000,255.7000000,255.7500000,1187880
GAZP,15,20190704,123000,255.7500000,256.0000000,255.1700000,255.1700000,972800
GAZP,15,20190704,124500,255.2400000,255.4000000,254.6600000,255.0600000,1191340
GAZP,15,20190704,130000,255.0600000,255.3000000,254.5600000,254.6300000,642180
GAZP,15,20190704,131500,254.6800000,254.8500000,254.3300000,254.4300000,995260
GAZP,15,20190704,133000,254.4600000,254.7000000,253.9100000,254.1600000,828570
GAZP,15,20190704,134500,254.1200000,254.4800000,253.7200000,253.8100000,1302400
GAZP,15,20190704,140000,253.8100000,253.9600000,251.8000000,252.3500000,3044190
GAZP,15,20190704,141500,252.3600000,253.1700000,251.6100000,252.6200000,1648110
GAZP,15,20190704,143000,252.6500000,253.0900000,252.3900000,252.7200000,483770
GAZP,15,20190704,144500,252.6000000,252.9000000,252.4400000,252.7900000,404550
